	TL1a_DTT_169_Re_extracted	TL1a_DTT_139	TL1a_DTT_171	TL1a_DTT_74	TL1a_DTT_141	TL1a_DTT_241	TL1a_DTT_243	TL1a_DTT_205	TL1a_DTT_206	TL1a_DTT_62	TL1a_DTT_242	TL1a_DTT_73	TL1a_DTT_63	TL1a_DTT_207	TL1a_DTT_75	TL1a_DTT_97	TL1a_DTT_140	TL1a_DTT_99	TL1a_DTT_98	TL1a_DTT_170	TL1A_DTT_638	TL1A_DTT_639	TL1A_DTT_687
TL1a_DTT_242	3.237890604153055	2.4173762253701514	1.9463276243883414	2.3370639946225373	2.597090661049213	0.39036920498881306	1.006491749201189	2.7255420222892472	1.2447214496028653	2.2708283576393966	0.0	2.451849430075517	2.4130614681685794	1.658724411273212	2.2733554421133415	2.3879875725449455	2.1057534473470585	2.3095121244530614	2.273255060652857	1.5148493978971749	2.5230782595527184	3.170784868836611	2.4814030233136655
TL1a_DTT_73	4.419831122678306	0.3163423870532645	0.7984766482931016	0.3585125245498361	0.28940263320980686	2.1131276366491343	1.7536743932690873	3.4739263998266816	1.4174796893005688	0.36081078238703623	2.451849430075517	0.0	0.240926154009822	2.818723630105759	0.5443094802962622	0.41322486949949555	0.3491424986684736	0.539240109649075	0.23512085257886467	1.0687166555985925	0.9527960773320827	0.7766005766618301	1.0669109929767238
TL1a_DTT_63	4.240604896325546	0.5141149834689307	0.6187996425037473	0.5128710793102966	0.481033944606813	2.081295130605546	1.7938387191349257	3.6259602992297086	1.4711489482229583	0.46280312125893824	2.4130614681685794	0.240926154009822	0.0	2.921855025180952	0.3418729137180626	0.6357368217443143	0.38552609657207954	0.6993226247902946	0.16658340455022924	0.962758996224736	0.7961447474012915	0.9317559590428807	0.8777156349634988
TL1a_DTT_207	4.833836744709672	2.627198483595805	2.777490328265535	2.5794200050211145	2.8259690100064345	1.6602030232450653	1.2637987031528797	1.0731646126006913	1.4951200121864852	2.581615701347733	1.658724411273212	2.818723630105759	2.921855025180952	0.0	2.9612718432111604	2.51869776689956	2.5465345164454005	2.450263025962036	2.7653546042826322	2.3783044756620857	3.3089797386898328	3.3040878068926554	3.364203346180078
TL1a_DTT_75	3.911330229539526	0.8142156688354301	0.3768455534247557	0.7980598724348785	0.8151397624126289	1.9380007075057035	1.7881629043417064	3.7406979548613646	1.4834197310466108	0.72763975641972	2.2733554421133415	0.5443094802962622	0.3418729137180626	2.9612718432111604	0.0	0.8998022154705867	0.49804181841312983	0.9715297256164402	0.350553137046545	0.8382666898269971	0.5331792963556984	1.1940233441047372	0.5763880769693923
TL1a_DTT_97	4.640323606178639	0.20173056538314343	1.0635791288423944	0.27808098911813317	0.34707217921874084	2.053955885993918	1.5683001747038574	3.104593216339316	1.2288753833066415	0.3717821214247912	2.3879875725449455	0.41322486949949555	0.6357368217443143	2.51869776689956	0.8998022154705867	0.0	0.475159607163085	0.3087855048292675	0.555141819139376	1.175943193956836	1.3034645487879792	0.8429876978323292	1.4296131196217292
TL1a_DTT_140	4.175830818025022	0.44441517054478497	0.5969916350966271	0.4174943056931387	0.5583977686616464	1.7642830610549711	1.4395424374101446	3.271051245365846	1.1061825505072518	0.3676381478327674	2.1057534473470585	0.3491424986684736	0.38552609657207954	2.5465345164454005	0.49804181841312983	0.475159607163085	0.0	0.5492414368461872	0.22168940686931174	0.7720514889602942	0.9521526621855423	1.092161578170745	1.0405758426198999
TL1a_DTT_99	4.65302088015655	0.24258921917057955	1.0604127704143824	0.18801522200694576	0.41129274283249384	2.006031106047565	1.4638162470588538	3.038220956775106	1.1488666824734441	0.2566322846898972	2.3095121244530614	0.539240109649075	0.6993226247902946	2.450263025962036	0.9715297256164402	0.3087855048292675	0.5492414368461872	0.0	0.6306729808628146	1.0843982183979164	1.449760673722473	1.047093674163837	1.5410802147171183
TL1a_DTT_98	4.190545779169912	0.46670175086868276	0.565058440273475	0.45571081024600085	0.4985206162428633	1.9359288869211273	1.6429675498720333	3.482076236569168	1.3161525039173039	0.4008368298852594	2.273255060652857	0.23512085257886467	0.16658340455022924	2.7653546042826322	0.350553137046545	0.555141819139376	0.22168940686931174	0.6306729808628146	0.0	0.8606572168104573	0.8241422336268346	0.9928905586599176	0.9110233230015228
TL1a_DTT_170	3.6124303532314572	1.115831003243978	0.5020906081688754	1.0263005203432873	1.2429200462840408	1.2335383449233344	1.1204412851858685	3.2618127179001246	0.9171332661318731	0.9260129543544209	1.5148493978971749	1.0687166555985925	0.962758996224736	2.3783044756620857	0.8382666898269971	1.175943193956836	0.7720514889602942	1.0843982183979164	0.8606572168104573	0.0	1.2374688004326666	1.8440216989666396	1.196953278096408
TL1A_DTT_638	3.7313581196121883	1.2585774580357176	0.7567949408754309	1.2729495719311537	1.2266616296916957	2.174128935671087	2.1706917617529204	4.114013027052147	1.873433762326767	1.2240749110412326	2.5230782595527184	0.9527960773320827	0.7961447474012915	3.3089797386898328	0.5331792963556984	1.3034645487879792	0.9521526621855423	1.449760673722473	0.8241422336268346	1.2374688004326666	0.0	1.3585733459236315	0.21005871190899134
TL1A_DTT_639	5.052189847167842	0.8423251719996403	1.5310456668755372	0.9506744512348156	0.6881523802879489	2.8176076563041876	2.403290807074389	3.796103820838837	2.0587054693872298	1.025715294768074	3.170784868836611	0.7766005766618301	0.9317559590428807	3.3040878068926554	1.1940233441047372	0.8429876978323292	1.092161578170745	1.047093674163837	0.9928905586599176	1.8440216989666396	1.3585733459236315	0.0	1.5251496956902835
TL1A_DTT_687	3.577384855320362	1.365942877807652	0.7171469521828749	1.3648443529351881	1.3390847265431993	2.1486944061999886	2.191865051569642	4.199588132260998	1.9128293842812565	1.3015683151394597	2.4814030233136655	1.0669109929767238	0.8777156349634988	3.364203346180078	0.5763880769693923	1.4296131196217292	1.0405758426198999	1.5410802147171183	0.9110233230015228	1.196953278096408	0.21005871190899134	1.5251496956902835	0.0
