"","names(shotgun_dat)"
"86","BioGeo.TL1A_FP_685.REP1_S22__kneaddata_paired_Abundance.RPKs"
"87","BioGeo.TL1A_FP_685"
"88","BioGeo.TL1A_FP_689.Rep1_S104__kneaddata_paired_Abundance.RPKs"
"89","BioGeo.TL1a_FP_101.REP1_S6__kneaddata_paired_Abundance.RPKs"
"90","BioGeo.TL1a_FP_127"
"91","BioGeo.TL1a_FP_131"
"92","BioGeo.TL1a_FP_139"
"93","BioGeo.TL1a_FP_143"
"94","BioGeo.TL1a_FP_193.Rep1_S85__kneaddata_paired_Abundance.RPKs"
"95","BioGeo.TL1a_FP_197.REP1_S10__kneaddata_paired_Abundance.RPKs"
"96","BioGeo.TL1a_FP_205"
"97","BioGeo.TL1a_FP_209.REP1_S11__kneaddata_paired_Abundance.RPKs"
"98","BioGeo.TL1a_FP_229.REP1_S12__kneaddata_paired_Abundance.RPKs"
"99","BioGeo.TL1a_FP_233.REP1_S13__kneaddata_paired_Abundance.RPKs"
"100","BioGeo.TL1a_FP_241"
"101","BioGeo.TL1a_FP_61"
"102","BioGeo.TL1a_FP_65"
"103","BioGeo.TL1a_FP_73.REP1_S3__kneaddata_paired_Abundance.RPKs"
"104","BioGeo.TL1a_FP_77.REP1_S4__kneaddata_paired_Abundance.RPKs"
"105","BioGeo.TL1a_FP_77"
"106","BioGeo.TL1a_FP_85"
"107","BioGeo.Vil1.01B.FP07.Rep1_S107__kneaddata_paired_Abundance.RPKs"
"108","BioGeo.Vil1.01B.FP11"
"109","BioGeo.Vil1.02B.FP19"
"110","BioGeo.Vil1.02B.FP23"
"111","BioGeo.Vil1.03B.FP31"
"112","BioGeo.Vil1.03B.FP35.REP1_S38__kneaddata_paired_Abundance.RPKs"
"113","BioGeo.Vil1.04B.FP43.Rep1_S88__kneaddata_paired_Abundance.RPKs"
"114","BioGeo.Vil1.04B.FP47"
"115","BioGeo.Vil1.05B.FP55"
"116","BioGeo.Vil1.05B.FP59.REP1_S37__kneaddata_paired_Abundance.RPKs"
"117","BioGeo.Vil1.06B.FP67"
"118","BioGeo.Vil1.06B.FP71"
"119","BioGeo.Vil1.07B.FP79"
"120","BioGeo.Vil1.07B.FP83"
"121","BioGeo.Vil1.08B.FP92.REP1_S41__kneaddata_paired_Abundance.RPKs"
"122","BioGeo.Vil1.08B.FP94.REP1_S42__kneaddata_paired_Abundance.RPKs"
"123","BioGeo.Vil1.09B.FP104"
"124","BioGeo.Vil1.09B.FP106"
"125","BioGeo.Vil1.10B.FP116.REP1_S44__kneaddata_paired_Abundance.RPKs"
"126","BioGeo.Vil1.10B.FP118.REP1_S45__kneaddata_paired_Abundance.RPKs"
"127","BioGeo.Vil1.13B.FP152"
"128","BioGeo.Vil1.13B.FP154.REP1_S47__kneaddata_paired_Abundance.RPKs"
"129","BioGeo.Vil1.14B.FP164"
"130","BioGeo.Vil1.14B.FP166"
