	TL1a_FP_162	TL1a_FP_234	TL1a_FP_198	TL1a_FP_102	TL1a_FP_132	TL1a_FP_90	TL1a_FP_174	TL1a_FP_144	TL1a_FP_288	TL1a_FP_66	TL1a_DTT_90_Repeat	TL1a_DTT_198_Repeat	TL1a_FP_246	TL1a_FP_270	TL1a_FP_78	TL1a_FP_210	TL1a_DTT_270_Repeat	TL1a_DTT_78	TL1a_DTT_234	TL1a_DTT_210	TL1a_DTT_246	TL1a_DTT_66	TL1A_DTT_642	TL1A_FP_678	TL1A_FP_630	TL1A_DTT_630
TL1a_DTT_90_Repeat	3.3814184791121353	1.5851462736242221	3.9852575567350774	1.121791572132483	1.9390104694248074	0.7575246097364067	1.7685052165373816	2.379426189942364	1.3346800559159286	1.8829659689055995	0.0	2.154538985721763	1.4792263242907746	2.30858096583522	2.432879799183349	2.5419087106398095	1.830024245587324	0.8014313130268932	1.1692206284443054	2.257736047911862	1.0788562326497864	1.0127217882921566	0.9430886147591615	0.7823416531728552	0.8626298337773204	1.0153347277198956
TL1a_DTT_198_Repeat	2.747952642052066	2.2883043381665074	1.902705537188546	2.8983839469161428	0.5265790761801409	1.8006783845248329	1.5086147620585522	2.4260558793105873	1.3360242912162907	3.2356074098154695	2.154538985721763	0.0	1.4244851447757632	0.8822406025650742	2.8157273015374775	0.9033377161674991	1.2574976675288942	1.7889515408424628	2.657046889377649	2.0170709965402343	2.159279455685665	1.749911236151057	2.1719641319271528	1.4830059042006056	2.000728932324739	2.2248656770086166
TL1a_FP_246	2.5192801205817865	1.7823561573973443	2.8256210087369955	1.718113121827821	1.3186613966210907	0.777819570532452	0.6116432742138517	1.8389072526272523	1.044290652560583	2.170330625188649	1.4792263242907746	1.4244851447757632	0.0	1.089340749830285	2.268456560880788	1.690312651591599	1.7130620536337873	0.714055607795636	1.836243955027446	1.8038622590564741	0.8797243255215341	0.850060069817461	0.9271509518852271	0.8783139813098335	0.8377385398451603	0.9941272638517049
TL1a_FP_270	2.079377648266952	2.5576837369928818	1.8072136528147824	2.7873915250860506	1.1632286006577057	1.7020644473371718	1.2930122495190373	1.8769949871126699	1.624736308792132	2.884223659120294	2.30858096583522	0.8822406025650742	1.089340749830285	0.0	2.4026165043869026	1.3395951765481842	1.9030990629732392	1.6903920709403815	2.8079311401685865	1.6373149918152585	1.8838781921724936	1.5595063331467416	1.9847039199848118	1.5419403278891133	1.8900359697977442	1.971447857167052
TL1a_FP_78	1.518244161312187	3.747458608165054	3.91397276865367	2.758483231449521	3.060395126443858	2.0742755241065787	2.876773131875679	0.6349082727164432	3.0474811510810755	1.4262523178875333	2.432879799183349	2.8157273015374775	2.268456560880788	2.4026165043869026	0.0	3.572695525322351	3.531417832998752	2.1955597740530726	3.4263864372693393	0.8810067131428783	2.0203121595045843	1.6625257037705035	2.2810668415512727	2.0587904688233585	2.4115156771924933	1.958396326266046
TL1a_FP_210	3.4076664262802256	2.0508950139131374	1.8674109809414747	3.094443421092356	0.6765985427989901	2.195356267944472	1.4156587887088194	3.122880825042664	1.313939044537985	3.787704119093988	2.5419087106398095	0.9033377161674991	1.690312651591599	1.3395951765481842	3.572695525322351	0.0	1.0985424112959492	2.126546024486614	2.6455873198158693	2.815571651139689	2.4983469326778662	2.2923643354571523	2.438375224780348	1.9935127544706672	2.2318963365579823	2.5956108435537204
TL1a_DTT_270_Repeat	3.821939056419494	1.3192545125717177	2.883942494842697	2.538950793725675	0.7720936340280768	1.814363799926346	1.5203228354268024	3.2322680456106885	0.7795964620231159	3.4811566408133605	1.830024245587324	1.2574976675288942	1.7130620536337873	1.9030990629732392	3.531417832998752	1.0985424112959492	0.0	1.750757112371759	1.8842985242086918	2.905109492409913	2.2189178818143827	2.031998855528187	2.0704765028395	1.5798110471668299	1.8258570129618124	2.2775845003795543
TL1a_DTT_78	2.8594371173947013	1.562960742954043	3.441189487076512	1.1407372043523163	1.6105266632193729	0.14270958992311275	1.088182210228792	1.94840376089614	1.0493343302872076	1.786120789135367	0.8014313130268932	1.7889515408424628	0.714055607795636	1.6903920709403815	2.1955597740530726	2.126546024486614	1.750757112371759	0.0	1.3479826135628543	1.9147986278903195	0.4850150364758924	0.554039482683476	0.41350017522440713	0.513021214021615	0.29981268344074624	0.5276217187782312
TL1a_DTT_234	4.2029984725856675	0.8109782065163109	4.349365451509005	1.0259139287456724	2.250573028413614	1.4340260709004355	1.7479884771045011	3.263115705317974	1.3671037958289098	2.617843718482316	1.1692206284443054	2.657046889377649	1.836243955027446	2.8079311401685865	3.4263864372693393	2.6455873198158693	1.8842985242086918	1.3479826135628543	0.0	3.233783692942549	1.5449335886222035	1.8603556429453887	1.260324475000439	1.6325415320654264	1.1324038395309135	1.5568308219685139
TL1a_DTT_210	1.2593949666547122	3.3695487064156158	3.071954717715847	2.7965559894102934	2.3388310082864545	1.8099539639049742	2.382504609437493	0.6343432944542328	2.526481011115934	1.9599432938895331	2.257736047911862	2.0170709965402343	1.8038622590564741	1.6373149918152585	0.8810067131428783	2.815571651139689	2.905109492409913	1.9147986278903195	3.233783692942549	0.0	1.9026284745859896	1.381945762083608	2.1355094683994214	1.659812439093244	2.18390120140624	1.8837457227351304
TL1a_DTT_246	2.7373937756893545	1.8865961101445183	3.6737585039836733	0.9905151105880887	2.029722558728307	0.4832847658917886	1.293573755512019	1.7782216065265561	1.4863126712151642	1.4288545240424109	1.0788562326497864	2.159279455685665	0.8797243255215341	1.8838781921724936	2.0203121595045843	2.4983469326778662	2.2189178818143827	0.4850150364758924	1.5449335886222035	1.9026284745859896	0.0	0.6440240014661988	0.28696535142405316	0.9062489212100909	0.4821393202546364	0.14141729553941174
TL1a_DTT_66	2.3960276932980196	2.087424309276064	3.3483189141511756	1.4897403134087153	1.734477538696716	0.43448338437272316	1.4119734767668368	1.4404560760565126	1.4338257267781562	1.5168536016637	1.0127217882921566	1.749911236151057	0.850060069817461	1.5595063331467416	1.6625257037705035	2.2923643354571523	2.031998855528187	0.554039482683476	1.8603556429453887	1.381945762083608	0.6440240014661988	0.0	0.7985639087911426	0.4930540895485947	0.822147780973938	0.6254896061745551
TL1A_DTT_642	3.0010045701249526	1.6221751523658448	3.7445251394462433	0.8077570181409716	1.9748529622690314	0.4707917256882261	1.2263412921713517	2.0520459540121094	1.3264232142748649	1.6235927008228166	0.9430886147591615	2.1719641319271528	0.9271509518852271	1.9847039199848118	2.2810668415512727	2.438375224780348	2.0704765028395	0.41350017522440713	1.260324475000439	2.1355094683994214	0.28696535142405316	0.7985639087911426	0.0	0.9071718848710387	0.24942747425672898	0.3384506366586264
TL1A_FP_678	2.7320494710786334	1.7542113950025435	3.2486951731288816	1.5497583954071368	1.3825491840850113	0.44161020389685324	1.3073649991446388	1.8530722957858299	1.053008184726731	1.9281673127981473	0.7823416531728552	1.4830059042006056	0.8783139813098335	1.5419403278891133	2.0587904688233585	1.9935127544706672	1.5798110471668299	0.513021214021615	1.6325415320654264	1.659812439093244	0.9062489212100909	0.4930540895485947	0.9071718848710387	0.0	0.7939617897653759	0.9059025520702002
TL1A_FP_630	3.078682110830156	1.4092813704305498	3.6164270933747136	0.9167077049266871	1.7658280089032143	0.4139726895094096	1.0749035777725944	2.164362247963543	1.0816713735341783	1.842016258074387	0.8626298337773204	2.000728932324739	0.8377385398451603	1.8900359697977442	2.4115156771924933	2.2318963365579823	1.8258570129618124	0.29981268344074624	1.1324038395309135	2.18390120140624	0.4821393202546364	0.822147780973938	0.24942747425672898	0.7939617897653759	0.0	0.5431691189111323
TL1A_DTT_630	2.7539734451828664	1.9446807413692144	3.768563918644069	0.9491161538079511	2.103692721399674	0.4943104768746382	1.4224441383677144	1.7592616204205915	1.560590058904542	1.31830576444753	1.0153347277198956	2.2248656770086166	0.9941272638517049	1.971447857167052	1.958396326266046	2.5956108435537204	2.2775845003795543	0.5276217187782312	1.5568308219685139	1.8837457227351304	0.14141729553941174	0.6254896061745551	0.3384506366586264	0.9059025520702002	0.5431691189111323	0.0
