OTU.ID	GnotobioticExp-DTT-365.fastq	GnotobioticExp-FP-372.fastq	GnotobioticExp-DTT-366.fastq	GnotobioticExp-FP-319.fastq	GnotobioticExp-DTT-308.fastq	GnotobioticExp-DTT-367.fastq	GnotobioticExp-DTT-303.fastq	GnotobioticExp-FP-384.fastq	GnotobioticExp-DTT-305.fastq	GnotobioticExp-DTT-370.fastq	GnotobioticExp-FP-314.fastq	GnotobioticExp-FP-301.fastq	GnotobioticExp-DTT-319.fastq	GnotobioticExp-FP-315.fastq	GnotobioticExp-FP-369.fastq	GnotobioticExp-FP-377.fastq	GnotobioticExp-DTT-362.fastq	GnotobioticExp-DTT-325.fastq	GnotobioticExp-FP-304.fastq	GnotobioticExp-FP-313.fastq	GnotobioticExp-DTT-307.fastq	GnotobioticExp-FP-375.fastq	GnotobioticExp-FP-317.fastq	GnotobioticExp-DTT-179.fastq	GnotobioticExp-FP-306.fastq	GnotobioticExp-DTT-381.fastq	GnotobioticExp-DTT-318.fastq	GnotobioticExp-FP-386.fastq	BSD-4241B.fastq	GnotobioticExp-DTT-323.fastq	GnotobioticExp-FP-305.fastq	GnotobioticExp-DTT-311.fastq	GnotobioticExp-FP-366.fastq	GnotobioticExp-DTT-384.fastq	GnotobioticExp-DTT-321.fastq	GnotobioticExp-FP-371.fastq	GnotobioticExp-DTT-320.fastq	GnotobioticExp-FP-365.fastq	GnotobioticExp-FP-302.fastq	GnotobioticExp-FP-380.fastq	GnotobioticExp-FP-393.fastq	GnotobioticExp-DTT-383.fastq	GnotobioticExp-FP-321.fastq	GnotobioticExp-FP-391.fastq	GnotobioticExp-FP-394.fastq	GnotobioticExp-DTT-322.fastq	GnotobioticExp-FP-363.fastq	GnotobioticExp-FP-303.fastq	GnotobioticExp-DTT-306.fastq	GnotobioticExp-FP-385.fastq	GnotobioticExp-DTT-373.fastq	GnotobioticExp-DTT-376.fastq	GnotobioticExp-FP-307.fastq	GnotobioticExp-FP-381.fastq	GnotobioticExp-FP-312.fastq	GnotobioticExp-FP-309.fastq	GnotobioticExp-DTT-379.fastq	GnotobioticExp-DTT-378.fastq	GnotobioticExp-FP-318.fastq	GnotobioticExp-FP-370.fastq	GnotobioticExp-FP-383.fastq	GnotobioticExp-DTT-324.fastq	GnotobioticExp-FP-367.fastq	GnotobioticExp-FP-378.fastq	GnotobioticExp-DTT-372.fastq	GnotobioticExp-FP-310.fastq	GnotobioticExp-FP-322.fastq	GnotobioticExp-DTT-368.fastq	GnotobioticExp-DTT-363.fastq	GnotobioticExp-DTT-315.fastq	GnotobioticExp-DTT-377.fastq	GnotobioticExp-DTT-364.fastq	GnotobioticExp-FP-373.fastq	GnotobioticExp-FP-364.fastq	GnotobioticExp-DTT-371.fastq	GnotobioticExp-DTT-313.fastq	GnotobioticExp-FP-382.fastq	BSD-4346B.fastq	GnotobioticExp-FP-387.fastq	GnotobioticExp-FP-388.fastq	GnotobioticExp-DTT-375.fastq	GnotobioticExp-FP-368.fastq	GnotobioticExp-FP-361.fastq	GnotobioticExp-DTT-302.fastq	GnotobioticExp-FP-389.fastq	GnotobioticExp-DTT-312.fastq	GnotobioticExp-FP-311.fastq	GnotobioticExp-FP-379.fastq	GnotobioticExp-DTT-314.fastq	GnotobioticExp-DTT-374.fastq	GnotobioticExp-FP-308.fastq	GnotobioticExp-DTT-317.fastq	GnotobioticExp-FP-392.fastq	GnotobioticExp-FP-323.fastq	GnotobioticExp-DTT-309.fastq	GnotobioticExp-DTT-380.fastq	GnotobioticExp-DTT-310.fastq	GnotobioticExp-FP-316.fastq	GnotobioticExp-DTT-304.fastq	GnotobioticExp-FP-396.fastq	GnotobioticExp-FP-374.fastq	GnotobioticExp-DTT-369.fastq	GnotobioticExp-FP-324.fastq	GnotobioticExp-FP-320.fastq	GnotobioticExp-DTT-316.fastq	GnotobioticExp-FP-390.fastq	GnotobioticExp-DTT-382.fastq	GnotobioticExp-FP-362.fastq	GnotobioticExp-FP-376.fastq	GnotobioticExp-FP-395.fastq	taxonomy
fdea3a9cb7f2a6d75ee3a507dc5be321	63	663	100	4076	341	1667	619	7	316	824	218	311	933	417	3345	11	3241	1797	56	245	60	3288	75	0	81	2339	101	4533	0	391	14	103	2089	786	2564	92	1971	1618	368	4202	3362	733	5046	2299	1088	679	3764	378	330	3410	1644	566	395	3296	227	456	3048	179	86	70	37	264	3403	24	178	107	412	2550	2745	684	271	2397	3127	2224	187	470	0	0	4765	847	3215	4182	2373	432	41	93	75	2594	320	3593	312	271	2902	842	440	2640	331	168	594	22	3616	3124	733	4752	217	22	103	3049	435	20	
7949a6531e3cad4e887c8d260cde3ac8	62	525	74	0	26	189	20	0	98	372	18	32	110	16	331	1773	382	194	258	31	12	221	241	0	95	3	14	0	1245	0	119	19	441	35	0	849	0	577	24	0	0	7	0	0	0	2	277	16	116	0	299	695	100	0	141	59	4	262	24	2284	0	0	454	865	134	161	0	425	421	22	899	580	540	1289	155	18	0	515	0	0	579	505	1266	17	0	69	177	0	14	626	63	41	0	0	36	163	88	47	18	0	427	623	0	0	22	0	2	833	2107	0	
8c5383085ec7de449a60707ebc43b835	52	289	21	0	0	916	0	0	0	365	0	0	0	0	1507	3	1952	0	0	0	0	1812	0	173	0	0	0	0	55	0	0	0	970	0	0	17	0	722	0	0	639	0	0	436	306	0	1403	0	0	0	984	337	0	0	0	0	0	138	0	12	0	0	1343	5	139	0	0	1593	1598	0	167	661	1635	825	151	0	0	0	0	0	2298	1684	871	0	0	0	0	0	0	2667	0	0	638	1	0	0	0	0	0	13	2168	1962	0	2	0	6	0	1455	215	13	
cb48af0355580e3a4cfe6d22f05b6b14	37	123	68	280	112	1219	64	0	188	387	38	21	736	109	1068	56	2319	1642	19	38	58	885	19	1690	39	685	51	195	0	1041	106	84	291	197	1323	83	1137	262	18	361	320	172	847	203	81	937	925	5	479	158	1420	398	23	358	53	82	723	159	10	135	24	230	533	49	133	13	52	2125	1629	109	174	945	699	315	143	111	3	5	176	105	2506	911	347	110	24	518	29	191	215	2947	79	222	196	394	66	916	270	34	56	28	646	2250	320	653	233	16	24	509	315	70	
ba3ab915d940bb92e93a3ee773c72f00	34	383	10	0	0	804	0	88	0	324	0	0	0	0	1597	3	992	0	0	0	0	1193	0	0	0	1795	0	3742	948	0	0	0	1148	462	0	106	0	877	0	4806	2272	423	0	1788	889	2	1134	0	0	3280	564	258	0	3979	3	0	1356	71	0	38	87	0	1585	4	109	0	0	1080	782	0	106	766	1222	1252	88	0	12	0	3358	1754	1181	1827	753	0	183	0	0	4027	0	1323	0	0	1918	0	0	1796	0	0	0	162	1475	1296	32	0	0	83	67	1229	225	258	
fcdd9694b35c4f1fe9466446f55fbb05	31	451	0	0	0	586	0	20	0	180	0	0	0	0	2457	0	329	0	0	0	0	542	0	18	0	481	0	764	104	0	0	0	1819	108	0	93	0	1155	0	1060	888	116	0	1001	251	0	455	0	0	796	144	105	0	849	0	0	380	22	0	0	14	0	2899	0	124	0	1	1268	177	0	30	187	879	507	74	0	0	0	613	202	290	3076	476	0	0	0	0	1135	0	136	0	0	1352	0	0	487	0	0	0	0	912	904	0	0	0	0	5	438	0	0	
76d6be90e19a660c9a84b35fa31d801c	30	283	81	7	11374	1045	14856	4	7843	530	8124	6788	11	10270	1523	3	2072	5	383	8933	0	1514	449	1521	2454	623	4675	1250	3917	23	984	3062	1141	202	3	134	3	911	6891	1032	1876	175	5	1432	520	6	1980	7489	6414	981	679	317	7530	746	2958	9368	582	121	5835	69	10	0	1643	13	85	2095	3	1653	1934	16070	210	1825	1380	1758	156	10340	0	3250	1165	286	1789	1921	1175	11738	19	2147	1351	997	18231	1890	9291	12333	2202	11	11555	516	7376	5495	14877	17	1738	2023	3	2	8647	3	23	1726	283	14	
22cf81746a4cc5f683ff23221357e951	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
fd1d77f83a3f383b6e769750fe1fdb4d	23	241	71	2	2500	202	0	0	30	196	2038	0	17	1940	479	88	2078	25	0	2459	312	1962	116	539	13	0	589	0	212	23	8	853	572	0	5	390	2	721	12	0	0	0	8	0	0	2	2932	0	54	0	939	477	3288	0	823	3723	0	122	1294	913	0	17	599	68	39	476	2	287	1597	1916	100	1400	2786	3579	51	2378	0	0	0	0	1603	650	3048	0	0	523	11	0	2374	1903	3362	1980	0	2	2675	0	1963	983	0	0	2928	284	0	6	1242	0	0	3965	1476	0	
9b28efb21a64512843df512859728721	21	19	15	0	0	312	0	0	0	121	0	0	0	0	379	22	577	0	0	0	0	349	2	0	0	15	0	57	0	0	0	0	80	10	0	14	0	57	0	28	325	8	0	147	24	0	178	0	0	41	307	169	0	65	0	0	27	97	0	27	0	0	126	17	68	0	0	611	761	0	79	146	93	77	53	0	0	0	88	15	1098	215	70	0	11	0	0	15	0	694	0	0	154	0	0	45	0	0	0	11	83	724	0	0	0	4	1	82	71	26	
452b5a01c4c7bac3e71ed06e3a3cd4a1	20	179	12	33	135	388	293	0	230	176	19	18	83	31	88	6	1136	71	15	27	41	109	16	227	139	161	62	12	0	95	90	77	214	42	155	21	162	40	24	28	37	21	39	15	7	217	123	61	379	23	337	185	17	29	16	66	137	54	30	47	3	27	58	187	66	41	43	579	759	214	120	306	44	65	53	60	0	0	20	19	809	45	31	421	3	141	65	20	274	960	32	155	15	116	178	149	176	44	184	11	61	751	89	38	132	11	3	66	64	2	
a52ea5388f21b1f99244a585b77ce55b	19	49	47	30	86	498	140	0	93	247	1	16	102	4	266	24	1023	256	6	3	5	181	2	0	90	195	2	113	0	128	96	41	93	16	209	33	142	57	38	150	349	32	168	119	23	136	187	53	186	94	451	195	18	228	22	29	226	79	0	49	3	41	90	84	115	7	5	703	855	14	112	504	78	141	93	30	0	0	210	43	854	155	61	115	5	44	29	63	34	977	19	14	105	46	70	301	52	2	171	6	58	827	16	50	18	3	8	97	79	24	
69dd8bcea64a2b0a4238e560a00ce6aa	19	28	6	13	413	192	454	0	227	143	32	78	37	62	247	9	437	17	13	61	26	414	19	0	122	37	61	43	0	0	220	151	148	19	73	18	44	100	129	41	21	13	10	45	6	7	404	34	305	47	182	78	78	49	77	65	32	55	46	25	0	0	289	5	23	37	0	336	472	400	30	305	290	128	22	181	0	0	46	3	569	280	274	297	0	108	47	51	333	540	68	195	29	0	515	57	378	33	307	3	338	446	0	12	133	0	0	305	51	0	
c560a89bbad32dad461cf90eda5e1c97	17	266	38	0	0	333	0	11	0	121	0	0	0	0	232	419	472	0	0	0	0	132	0	0	0	0	0	0	649	0	0	0	222	5	0	369	0	226	0	0	0	7	0	0	0	0	123	0	0	0	483	301	0	0	0	0	0	59	0	1003	0	0	258	362	43	0	0	431	363	0	90	208	288	450	49	0	0	338	0	0	686	301	230	0	0	0	0	0	0	698	0	0	0	0	0	22	0	0	0	0	198	411	0	0	0	0	0	231	724	0	
332654b6cec803fb58e8a86289c06695	17	104	4	0	79	84	71	0	157	105	53	69	0	69	123	28	188	0	21	111	33	72	32	0	165	3	23	22	0	0	125	67	79	5	0	33	0	85	50	4	21	2	0	15	4	0	75	33	227	40	93	104	75	0	182	89	1	39	144	32	0	0	84	37	25	42	0	192	170	43	52	108	66	155	32	31	0	5	15	21	225	92	89	55	2	228	56	4	93	244	77	144	37	0	75	42	293	55	95	0	74	266	0	0	70	0	0	88	117	3	
e5115bee9fcde854527105a737a543e6	17	174	9	0	0	31	0	10	0	60	0	0	0	0	45	337	273	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	132	0	0	167	0	161	0	0	0	4	0	0	0	0	167	0	0	0	181	164	0	0	0	0	0	88	0	823	0	0	93	116	0	0	0	65	297	0	30	172	190	443	19	0	0	0	0	0	347	69	199	0	0	0	0	0	0	256	0	0	0	0	0	14	0	0	0	0	146	99	0	0	0	0	0	172	393	0	
10e1fbff9166e383f9e5a6e6ac3b3305	15	294	11	28	359	45	360	56	99	67	43	53	5	74	229	899	79	53	842	52	22	142	377	54	367	47	25	37	0	51	466	35	179	20	25	427	51	257	84	46	41	13	91	36	36	24	146	110	177	52	46	103	73	53	234	145	35	36	59	1232	17	15	246	272	23	584	61	55	59	152	101	56	124	474	34	49	3	0	35	130	91	148	85	496	67	51	415	53	307	110	185	50	64	157	146	87	109	147	47	80	87	71	0	135	40	33	3	131	1235	77	
e20c53a3bd82e2fa6e506818cda27587	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49200227ccda4b989894e21928c1dfcb	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30dfdea9ad684383de9a7e1cca18b1cd	11	101	13	0	0	78	0	0	0	43	0	0	0	0	285	6	268	0	0	0	0	190	0	0	0	0	0	0	0	0	0	0	268	0	0	22	0	152	0	0	0	0	0	0	0	0	627	2	0	0	55	52	0	0	0	0	0	2	0	30	0	0	440	2	6	0	0	86	176	0	10	123	300	274	10	0	0	0	0	0	67	419	749	0	0	0	0	0	0	77	0	0	0	0	0	2	0	0	0	0	310	95	0	0	0	0	0	913	85	0	
62db5676dcb3f0f2e2e4bf6625d0d655	11	109	15	0	0	28	2	0	25	14	0	0	0	0	5	379	191	0	0	0	14	24	0	66	6	241	0	94	0	0	13	0	30	24	0	256	0	72	0	180	53	31	0	120	61	0	23	0	0	128	74	83	0	167	20	3	107	24	0	627	3	0	10	219	6	0	0	38	230	0	39	126	33	133	15	0	2	0	160	248	176	22	38	0	28	13	0	91	0	172	0	2	125	0	0	91	11	0	5	49	31	52	0	0	0	8	3	33	363	42	
22436f090b3327aa9cc25a46c2614ab0	11	64	10	0	0	40	636	4	313	35	202	756	20	199	242	0	0	102	50	275	9	30	9	0	38	1291	25	2432	73	16	15	33	134	452	7	4	1	67	749	2471	2929	451	2	1909	965	8	0	559	345	2333	40	0	0	1926	29	0	825	33	86	1	31	0	196	0	6	32	0	99	0	323	9	0	128	0	7	339	4	0	2300	750	121	262	0	548	33	25	68	2299	282	130	0	201	1963	2	0	1425	0	97	564	20	153	213	0	0	95	11	40	0	3	12	
0bc4e35da130d9cb9fc1090c80011153	10	109	5	0	0	180	3	0	3	61	2	0	0	0	622	0	188	0	0	0	0	569	0	0	0	97	0	723	1057	0	0	0	567	17	0	35	0	356	0	648	618	46	0	883	62	0	491	0	4	842	167	55	0	515	5	44	78	38	0	16	5	0	848	0	4	0	0	204	121	0	21	85	880	371	19	0	0	0	533	73	213	789	579	0	9	16	3	849	0	291	0	3	833	2	0	177	8	0	0	6	864	170	0	2	0	4	4	741	79	6	
44e670460755fa0367ca0df02e46986c	10	42	0	65	237	215	385	6	241	84	10	22	620	13	11	14	413	110	14	25	20	12	39	0	131	159	127	8	0	126	41	20	48	20	1730	11	1636	14	19	11	9	3	41	11	31	327	14	27	259	12	326	95	18	12	148	11	140	24	19	24	5	67	26	4	12	14	63	242	297	350	13	211	23	43	14	381	0	6	7	17	617	11	22	396	5	78	39	21	596	534	9	287	21	179	206	176	199	19	361	2	16	499	414	69	177	11	8	22	40	9	
c44642d31840ae8b6896c0bc0f5a8802	10	50	7	50	6	121	13	0	11	36	6	11	93	7	242	4	97	0	0	14	0	57	0	0	0	72	5	103	10	13	2	25	59	20	87	11	59	85	19	169	107	25	51	92	20	29	104	3	8	67	61	19	16	176	0	6	63	0	4	11	2	0	172	3	12	0	3	161	90	6	11	62	47	107	17	0	0	26	91	27	105	261	78	9	2	2	0	90	9	111	14	7	89	11	14	112	5	4	10	2	68	235	16	33	2	0	5	85	25	0	
860a5e9ee39ccb39131b57de03fb5bf8	8	37	0	0	0	31	0	0	0	45	0	0	0	0	276	2	61	0	0	0	0	192	0	0	0	2	0	0	0	0	0	0	100	9	0	12	0	95	0	0	0	0	0	0	0	0	179	0	0	0	62	9	0	0	0	0	0	12	0	8	0	0	218	9	11	0	0	69	47	0	11	34	119	72	12	0	0	2	0	0	53	323	119	0	0	0	0	0	0	86	0	0	0	0	0	10	0	0	0	0	184	60	0	0	0	0	0	199	33	0	
e7a1f678856d2965f8ecb22b7c197e46	7	14	3	0	62	226	68	2	47	46	4	3	0	0	44	5	172	0	17	4	2	70	35	0	32	113	5	27	2	0	25	22	48	42	0	5	0	40	3	48	15	11	0	9	10	0	46	1	24	23	197	34	0	66	4	8	124	0	9	10	3	0	66	3	14	32	0	158	137	109	5	80	81	43	5	26	0	0	33	10	241	68	50	56	3	14	18	35	52	276	1	37	36	0	94	145	31	3	27	27	78	301	0	0	19	9	5	28	35	15	
a391e2b52a652c4174012ed0040f565b	7	273	12	0	0	256	0	0	0	141	0	0	0	0	999	3	358	0	0	0	0	676	0	0	0	0	0	0	0	0	0	0	1124	0	0	73	0	729	0	0	0	0	0	0	0	0	1190	0	0	0	298	194	0	0	0	0	0	48	0	27	0	0	1715	2	27	0	0	558	146	0	33	178	1849	275	75	0	0	0	0	0	432	1606	1491	0	0	0	0	0	0	434	0	0	0	0	0	0	0	0	0	0	1876	382	0	0	0	0	0	1767	143	0	
