	observed_otus
Lyz2-04B-DTT243-S84	335
Vil1-05B-FP58	241
Vil1-04B-FP43	301
Vil1-08B-FP95	141
Vil1-09B-FP106	124
LYZFP317	167
Itg-06-DTT433-S26	243
SLCFP022	133
Lyz2-03B-DTT236-S76	165
Vil1-04B-DTT46	157
Lyz2-07B-FP282-S80	114
Itg-16-FP484-S87	209
Vil1-10B-FP120	238
Vil1-05B-FP60	421
Lyz2-01B-FP212-S60	95
Vil1-03B-FP32	362
LYZdtt328	327
Lyz2-02B-DTT224-S64	228
Itg-02-DTT407-S99	405
SLCdtt145	367
Lyz2-08B-DTT291-S133	316
Vil1-09B-FP105	337
Itg-24-DTT527-S22	372
LYZFP355	91
LYZdtt330	99
Itg-26-DTT539-S35	326
LYZFP319	119
Vil1-05B-FP59	218
SLCFP005	79
Vil1-08B-FP96	302
Itg-26-FP540-S44	354
SLCFP024	93
Vil1-06B-FP68	364
Vil1-09B-DTT104	249
SLCFP093	238
Lyz2-08B-FP291-S89	294
Vil1-02B-DTT24	453
SLCdtt021	269
Vil1-01B-FP09	343
Vil1-02B-DTT21	276
Vil1-08B-FP92	316
Vil1-02B-DTT23	239
Vil1-03B-DTT32	344
SLCFP053	170
Itg-20-FP507-S10	202
SLCFP148	296
SLCdtt114	122
Lyz2-06B-DTT271-S113	221
Vil1-04B-FP48	144
Itg-22-DTT517-S12	346
Vil1-06B-FP69	360
Lyz2-07B-DTT284-S126	225
Lyz2-03B-FP234-S82	139
Vil1-04B-FP47	143
SLCdtt150	202
Vil1-09B-DTT106	137
LYZFP320	102
Vil1-02B-DTT20	300
SLCdtt167	302
Lyz2-04B-DTT244-S85	299
Vil1-06B-DTT67	28
SLCdtt111	278
Itg-24-FP530-S33	110
SLCFP091	222
Vil1-03B-FP36	249
Lyz2-02B-DTT223-S63	117
Vil1-02B-FP19	291
Itg-02-FP412-S12	133
LYZFP327	226
Itg-26-FP539-S43	299
SLCFP095	49
SLCFP164	258
Itg-18-FP491-S94	271
LYZdtt356	103
Itg-16-FP481-S84	296
Vil1-04B-DTT44	322
Vil1-03B-FP33	346
Lyz2-02B-FP224-S72	158
Lyz2-05B-FP259-S56	124
Itg-22-DTT519-S14	161
LYZdtt368	305
SLCdtt095	54
Lyz2-04B-DTT247-S88	300
Itg-06-DTT434-S27	186
Itg-24-DTT528-S23	365
Itg-04-FP422-S22	52
SLCdtt074	295
SLCFP077	87
LYZdtt367	216
Itg-22-DTT518-S13	279
Itg-20-FP506-S9	300
Itg-08-FP445-S46	313
LYZdtt304	422
Itg-24-FP529-S32	367
Itg-02-DTT412-S4	130
Itg-08-DTT444-S37	315
Vil1-09B-FP104	311
Vil1-03B-DTT34	280
Itg-26-FP544-S48	153
Itg-12-DTT467-S61	324
Lyz2-08B-FP292-S90	315
Vil1-10B-FP119	134
Vil1-04B-FP44	326
Vil1-13B-FP152	81
LYZFP356	152
Itg-16-DTT480-S75	341
SLCdtt024	104
Itg-10-FP460-S62	134
SLCdtt149	171
LYZFP354	82
Itg-20-FP504-S7	313
Itg-26-DTT543-S39	238
Vil1-07B-FP79	259
SLCFP166	171
Lyz2-02B-DTT219-S59	319
LYZdtt317	230
Itg-04-DTT424-S16	197
Vil1-14B-FP164	302
Itg-12-DTT468-S62	346
SLCFP112	189
SLCFP073	199
Itg-06-FP434-S35	133
Itg-18-FP496-S99	72
Itg-24-FP531-S34	58
SLCFP128	240
Itg-24-FP527-S30	352
Lyz2-07B-FP279-S77	258
LYZdtt305	314
LYZdtt319	146
SLCFP092	246
Lyz2-01B-DTT210-S50	227
LYZFP332	69
Vil1-08B-DTT96	10
SLCFP002	323
LYZFP306	194
LYZdtt329	316
Lyz2-06B-FP269-S67	323
SLCFP113	138
Vil1-010B-DTT119	54
LYZdtt306	56
Lyz2-03B-FP231-S79	245
Vil1-04B-DTT45	321
Lyz2-03B-DTT233-S73	280
SLCFP071	124
Lyz2-07B-FP281-S79	287
Itg-18-DTT491-S86	323
Vil1-05B-DTT58	10
Lyz2-07B-DTT280-S122	289
Itg-06-DTT431-S24	208
Vil1-05B-DTT59	5
Vil1-07B-DTT81	82
Lyz2-05B-DTT255-S96	342
Vil1-09B-FP107	151
Itg-08-FP443-S44	259
Vil1-010B-DTT120	31
Itg-02-FP410-S10	100
SLCFP004	73
SLCdtt146	284
SLCdtt113	88
Itg-12-DTT470-S64	186
Lyz2-01B-DTT208-S48	282
Itg-02-DTT408-S100	374
Vil1-04B-FP45	329
Itg-06-FP436-S37	105
Itg-02-DTT410-S2	117
Lyz2-07B-DTT279-S121	525
Lyz2-05B-FP256-S53	290
SLCdtt004	100
Vil1-03B-FP34	212
Vil1-07B-FP83	204
SLCFP019a	242
SLCdtt092	254
Vil1-01B-FP12	182
Itg-12-FP469-S71	337
SLCdtt112	53
Itg-26-FP543-S47	300
Vil1-10B-FP117	295
Vil1-05B-DTT60	5
Itg-08-DTT446-S39	160
Itg-06-FP433-S34	287
LYZFP316	325
Itg-26-FP542-S46	172
Lyz2-02B-FP220-S68	313
Vil1-013B-DTT152	37
Vil1-08B-DTT95	7
SLCFP075	246
SLCdtt020	301
SLCFP049	221
Lyz2-05B-FP257-S54	298
Vil1-08B-FP94	175
Vil1-01B-DTT10	160
LYZdtt355	108
LYZFP339	275
Itg-26-DTT542-S38	212
Vil1-05B-DTT55	9
SLCFP094	202
Itg-16-FP482-S85	145
Itg-18-DTT493-S88	272
Vil1-013B-DTT153	39
LYZdtt343	60
Vil1-01B-DTT08	304
Lyz2-05B-DTT256-S97	295
Itg-02-FP408-S8	299
LYZFP315	289
Vil1-02B-FP21	338
Itg-04-DTT421-S13	311
Itg-18-DTT495-S90	247
Itg-12-FP471-S73	132
Lyz2-04B-DTT248-S89	336
Itg-16-FP479-S81	268
Vil1-014B-DTT165	323
SLCdtt148	308
SLCdtt128	287
SLCdtt076	176
Vil1-010B-DTT118	121
LYZdtt341	270
Lyz2-08B-DTT292-S134	317
Itg-20-DTT507-S2	260
Itg-12-DTT471-S65	177
Lyz2-03B-DTT235-S75	118
Vil1-05B-FP55	374
Itg-22-FP516-S19	348
Vil1-06B-DTT69	62
LYZdtt344	188
Vil1-08B-DTT92	153
Lyz2-05B-DTT258-S99	163
Itg-10-DTT459-S53	144
Itg-08-DTT447-S40	270
Itg-04-FP420-S20	308
Itg-10-FP456-S58	308
SLCFP163	238
SLCFP050	272
Vil1-09B-DTT107	80
LYZFP352	354
Lyz2-08B-FP294-S92	200
Itg-10-DTT457-S51	276
Lyz2-06B-DTT267-S108	320
Vil1-01B-DTT12	156
Vil1-13B-FP156	111
Vil1-013B-DTT156	115
Itg-18-FP492-S95	272
Vil1-07B-DTT84	8
SLCdtt051	291
Itg-16-DTT479-S73	273
LYZFP305	106
Vil1-06B-FP72	385
Lyz2-05B-DTT257-S98	327
Vil1-014B-DTT167	245
Vil1-02B-FP24	201
Itg-26-DTT544-S40	223
Itg-04-DTT422-S14	214
Vil1-08B-DTT93	152
Lyz2-08B-DTT295-S137	171
Itg-12-FP468-S70	349
Lyz2-05B-FP260-S57	115
Itg-06-DTT435-S28	208
Itg-12-FP467-S69	340
SLCdtt168	277
SLCFP052	137
Itg-20-FP505-S8	312
Vil1-06B-DTT71	5
Vil1-14B-FP166	84
LYZdtt340	338
SLCFP076	72
Itg-04-FP423-S23	61
SLCdtt096	52
Itg-22-FP517-S20	358
LYZFP330	147
Itg-12-FP472-S74	186
LYZdtt318	198
Lyz2-06B-FP268-S65	314
SLCFP127	198
Lyz2-03B-FP233-S81	230
Lyz2-04B-FP246-S43	133
Vil1-14B-FP165	317
Itg-16-DTT484-S79	192
Lyz2-02B-FP221-S69	304
Vil1-07B-FP81	310
Lyz2-06B-FP270-S68	124
Vil1-07B-FP84	446
Itg-20-DTT503-S98	290
Lyz2-04B-FP247-S44	98
Itg-22-DTT515-S10	299
Itg-06-FP431-S32	282
LYZFP340	318
Lyz2-01B-FP211-S59	93
Lyz2-06B-FP267-S64	321
Vil1-013B-DTT151	144
SLCFP150	337
Itg-16-DTT481-S76	296
Itg-02-FP407-S7	276
LYZdtt332	193
SLCFP129	253
SLCFP167	115
LYZdtt363	376
Vil1-04B-DTT48	183
Itg-04-FP419-S19	366
Itg-08-FP448-S49	124
Lyz2-07B-DTT282-S124	260
LYZdtt365	275
Vil1-13B-FP151	46
LYZdtt320	68
LYZdtt315	479
Vil1-01B-FP10	149
Itg-04-FP424-S24	215
Itg-06-DTT436-S29	215
LYZFP351	363
Vil1-02B-DTT19	237
SLCFP074	222
SLCFP145	246
Lyz2-08B-DTT296-S139	150
Itg-08-FP446-S47	121
Vil1-06B-FP71	356
Itg-12-DTT469-S63	341
SLCdtt078	149
Itg-22-DTT520-S15	290
SLCFP054	127
SLCdtt052	101
LYZFP303	199
Vil1-07B-DTT83	8
Lyz2-01B-FP207-S55	325
Itg-08-DTT443-S36	518
Lyz2-02B-DTT222-S62	128
Vil1-13B-FP155	55
Lyz2-01B-DTT211-S51	133
Lyz2-08B-FP295-S93	175
Itg-08-FP444-S45	286
Vil1-13B-FP154	33
SLCFP003	321
Vil1-14B-FP168	201
Lyz2-04B-DTT245-S86	250
Vil1-010B-DTT116	283
Vil1-03B-FP31	288
Lyz2-03B-FP232-S80	246
Lyz2-01B-DTT212-S52	150
Lyz2-03B-FP235-S83	93
Itg-04-DTT420-S12	313
Itg-18-FP493-S96	300
Lyz2-02B-DTT220-S60	300
Lyz2-07B-FP284-S82	119
Lyz2-08B-DTT293-S135	304
SLCFP068	212
Itg-10-FP457-S59	348
SLCFP165	272
Vil1-02B-DTT22	105
Lyz2-07B-DTT283-S125	428
Itg-10-FP459-S61	110
Itg-06-FP432-S33	252
Itg-10-DTT458-S52	116
Vil1-07B-DTT80	71
SLCdtt165	283
SLCdtt069	331
Lyz2-01B-FP209-S57	322
Vil1-010B-DTT115	65
Vil1-08B-DTT91	29
Vil1-014B-DTT163	485
Itg-12-FP470-S72	110
SLCdtt129	218
Lyz2-07B-FP280-S78	264
Itg-10-FP458-S60	72
SLCFP114	126
SLCdtt109	259
Vil1-08B-DTT94	10
Lyz2-08B-FP296-S95	177
LYZdtt352	294
SLCFP006	81
SLCdtt054	88
Itg-02-DTT411-S3	92
LYZdtt353	268
LYZFP343	112
Itg-16-FP483-S86	139
LYZdtt316	261
Lyz2-03B-FP236-S84	123
Lyz2-02B-FP223-S71	107
Itg-02-FP411-S11	123
SLCdtt006	117
Vil1-05B-DTT56	85
Lyz2-05B-FP258-S55	125
Itg-06-FP435-S36	124
Vil1-014B-DTT168	354
Itg-16-FP480-S83	289
Lyz2-01B-DTT209-S49	316
Vil1-09B-DTT103	107
Vil1-09B-DTT108	51
SLCdtt093	305
Vil1-02B-FP23	149
SLCdtt077	126
SLCdtt166	139
Vil1-01B-DTT09	304
Vil1-07B-FP80	261
SLCdtt132	107
Itg-22-FP519-S22	110
SLCFP132	124
SLCdtt001	108
Lyz2-05B-DTT259-S100	125
LYZFP344	368
LYZFP342	86
LYZdtt303	523
SLCdtt130	96
Itg-22-FP520-S23	216
Itg-10-FP455-S57	279
Itg-20-DTT506-S1	202
Vil1-05B-FP56	373
Lyz2-06B-DTT268-S109	311
SLCFP146	305
SLCFP096	15
SLCFP147	307
SLCFP001	279
Lyz2-03B-DTT234-S74	205
Vil1-07B-DTT82	13
Vil1-06B-DTT68	86
SLCFP110	275
SLCdtt068	284
Vil1-02B-FP20	317
SLCdtt147	316
Itg-04-FP421-S21	335
Vil1-08B-FP91	358
Vil1-013B-DTT154	50
Vil1-04B-DTT47	145
Vil1-06B-FP70	355
LYZFP353	369
Vil1-08B-FP93	320
Itg-08-FP447-S48	111
Itg-26-FP541-S45	349
Lyz2-03B-DTT231-S71	320
Itg-18-DTT494-S89	255
Itg-06-DTT432-S25	292
LYZdtt307	200
Itg-08-DTT445-S38	294
Lyz2-08B-FP293-S91	349
SLCFP109	274
LYZdtt331	183
Itg-18-FP494-S97	124
LYZdtt339	100
Lyz2-08B-DTT294-S136	268
Itg-26-DTT540-S36	368
SLCdtt003	279
SLCdtt053	114
LYZdtt327	222
SLCFP020	255
Itg-20-FP503-S6	301
Lyz2-02B-FP219-S67	321
Vil1-09B-FP103	219
Itg-04-DTT419-S11	487
Vil1-013B-DTT155	41
LYZFP318	330
SLCdtt067	278
Vil1-10B-FP118	207
SLCFP149	128
Lyz2-06B-FP272-S70	183
Itg-18-FP495-S98	70
LYZFP329	323
LYZFP341	325
