OTU.ID	Mouse5A.FP28	Mouse3A.FP16	Mouse5A.FP26	Mouse7A.FP40	Mouse1A.FP05	Mouse6A.FP32	Mouse3A.FP17	Mouse7A.FP38	Mouse1A.FP02	Mouse2A.FP11	Mouse3A.FP18	Mouse6A.FP31	Mouse4A.FP22	Mouse1A.FP03	Mouse4A.FP23	Mouse1A.FP01	Mouse6A.FP35	Mouse2A.FP07	Mouse3A.FP13	Mouse1A.FP06	Mouse1A.FP04	Mouse2A.FP12	Mouse2A.FP10	Mouse7A.FP42	Mouse7A.FP41	Mouse3A.FP15	Mouse4A.FP20	Mouse5A.FP29	Mouse6A.FP34	Mouse6A.FP36	Mouse2A.FP09	Mouse5A.FP25	Mouse5A.FP30	Mouse7A.FP39	Mouse4A.FP24	Mouse3A.FP14	Mouse4A.FP21	Mouse2A.FP08	Mouse7A.FP37	Mouse6A.FP33	Mouse4A.FP19	Mouse5A.FP27	Mouse10A.FP110	Mouse10A.FP109	Mouse10A.FP111	Mouse9A.FP97	Mouse9A.FP98	Mouse8A.FP87	Mouse8A.FP85	Mouse10A.FP113	Mouse9A.FP102	Mouse9A.FP101	Mouse10A.FP112	Mouse8A.FP90	Mouse10A.FP114	Mouse8A.FP86	Mouse9A.FP99	Mouse8A.FP89	Mouse9A.FP100	Mouse8A.FP88	taxonomy
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia UCG-014;f__;g__	0	0	103	0	4	25	9	14	24	8	4	37	0	57	0	41	19	40	18	0	0	3	11	0	0	61	12	170	10	0	101	53	9	25	0	27	17	44	14	79	35	0	15	39	18	22	12	93	45	1	83	9	17	50	11	75	5	27	2	20	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella	4	0	33	13	0	34	12	25	221	23	8	84	0	222	0	169	8	62	29	0	4	13	30	0	0	86	33	91	8	0	123	54	4	23	4	53	46	77	23	64	339	0	60	106	117	89	67	59	57	2	33	42	67	0	3	35	105	9	9	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Family XIII UCG-001	0	3	25	5	0	10	0	34	48	0	4	24	0	0	0	28	0	15	22	0	0	0	0	0	0	37	45	14	0	0	61	0	0	23	0	20	35	19	8	37	39	0	5	4	26	10	19	56	31	5	14	0	34	0	5	50	66	14	4	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__	0	18	283	0	0	0	9	3	6	0	9	0	0	32	0	5	0	96	218	0	0	0	0	0	0	280	470	213	9	0	635	50	11	4	0	222	492	288	1	8	763	0	21	19	67	105	69	38	274	4	2	0	182	1	12	244	124	28	1	1	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Oscillospira	0	0	0	0	0	0	0	5	27	0	0	0	0	0	0	26	0	15	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	1	0	14	0	0	5	0	1	1	3	9	12	2	2	0	5	0	3	0	0	7	17	4	0	0	
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Parasutterella	1032	3491	2368	788	710	586	500	1044	236	2628	293	581	265	305	100	67	3625	980	461	1399	459	2319	3221	3079	776	589	440	3088	2635	1853	1656	896	3093	1568	511	421	497	1589	1179	1235	669	1397	300	706	345	456	524	800	514	1054	3266	3866	2528	18105	1759	990	328	17615	5280	11035	
k__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Coriobacteriaceae UCG-002	17	0	6	29	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	5	23	4	6	0	0	13	0	0	3	6	14	0	0	0	0	3	0	0	0	16	0	0	0	0	0	2	0	2	0	0	0	35	3	0	0	8	1	9	
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__Mitochondria;g__	131	26	0	373	0	25	4623	2	0	150	6836	2	22	0	58	0	736	0	0	1	458	187	38	611	63	0	3	0	70	235	0	0	205	1	10	0	4	22	7	0	3	66	0	0	0	35	0	8	0	649	2686	327	0	58	3736	0	0	33	131	138	
k__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Chloroplast;f__;g__	21	29	0	69	0	5	2904	2	2	68	5199	0	9	0	33	1	765	0	0	0	164	104	17	204	67	0	0	0	34	108	0	0	107	0	12	0	2	3	0	0	0	9	0	0	0	0	0	0	0	712	4664	99	0	9	2346	0	0	0	47	65	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus	4781	7427	1781	4631	826	759	5763	1044	106	3315	3199	150	759	209	974	31	3444	2862	5242	1552	647	1353	1955	2189	4907	5975	21	1184	2729	2066	935	282	2555	231	522	4589	18	1743	1401	138	5	12007	4151	2246	5323	22	0	0	0	23972	70	829	13144	84	13053	0	31	92	29	26	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Faecalibaculum	433	494	364	3073	403	210	136	418	13	418	22	86	9	441	8	6	713	70	60	61	177	21	204	622	1406	184	25	723	211	1346	108	215	377	672	3	93	45	81	588	208	61	320	13	27	25	35	0	133	67	102	128	144	65	7097	39	137	37	2824	365	2865	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae UCG-001	32	656	183	476	153	10575	906	2275	1522	106	871	3237	10	648	4	1292	321	10993	7979	0	32	193	228	81	64	9576	2581	219	62	23	244	1898	80	205	0	9358	1595	5921	3249	2170	815	22	5987	12931	4169	12648	10810	4044	3108	18	63	29	2731	20	50	10272	3728	541	28	154	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae FCS020 group	0	0	4	7	6	29	0	60	94	0	8	13	0	0	0	51	0	7	32	0	0	0	0	0	0	12	158	4	0	0	15	0	0	47	0	10	191	38	7	59	109	0	7	15	30	13	8	60	34	1	14	7	67	4	6	19	92	26	1	1	
k__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Gastranaerophilales;f__;g__	0	4	0	0	7	28	17	17	0	0	9	17	0	0	0	0	0	243	19	0	0	0	0	0	0	11	11	3	0	0	21	0	3	0	0	11	12	122	9	10	5	0	62	107	29	66	51	10	8	2	4	2	30	0	0	9	57	2	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__ASF356	0	0	12	4	0	29	0	46	303	0	2	8	0	76	0	294	3	4	7	0	0	0	0	0	0	5	13	18	2	0	0	10	0	27	0	5	9	8	10	3	5	0	54	11	6	12	6	0	0	1	0	1	56	0	4	1	26	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__NK4A214 group	0	0	8	0	0	3	0	0	4	0	4	4	0	0	0	4	0	0	0	0	0	0	0	0	0	8	9	11	0	0	10	0	0	12	0	5	7	5	3	13	8	0	0	0	6	2	5	23	17	0	0	0	0	0	0	12	2	3	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003	0	0	3	2	0	13	0	30	0	0	0	16	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	51	0	0	0	0	3	53	0	0	7	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium] nodatum group	0	0	8	0	2	27	0	8	19	0	2	16	0	0	0	10	0	13	27	0	0	0	0	2	5	23	16	15	0	0	50	17	0	14	0	21	15	13	9	36	9	0	12	31	20	119	29	15	29	0	5	0	8	0	0	46	15	3	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__[Eubacterium] siraeum group	0	0	5	26	0	26	15	15	93	0	25	33	0	0	0	54	10	16	0	0	5	6	4	0	0	0	17	9	4	0	42	0	0	13	0	0	32	23	0	38	45	0	13	26	55	5	4	18	41	0	0	2	92	0	10	26	5	7	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium] coprostanoligenes group;g__	0	15	38	4	0	56	6	21	0	2	13	156	0	30	0	0	9	32	178	0	0	0	2	0	2	246	13	111	2	0	94	20	0	38	0	209	38	17	17	510	23	0	101	382	91	0	0	0	0	49	0	0	243	0	33	0	0	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Harryflintia	0	0	0	3	0	32	0	19	89	0	0	17	0	40	0	93	0	13	17	0	0	0	0	0	3	15	109	0	0	0	15	4	0	13	0	6	109	12	10	21	80	0	4	5	14	10	19	32	20	0	0	0	5	3	3	17	27	11	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__[Eubacterium] brachy group	0	3	6	5	3	4	0	4	9	0	0	6	0	0	0	3	4	3	0	3	0	0	0	6	3	9	5	11	7	0	10	0	0	8	0	3	12	4	0	13	8	0	0	0	7	0	2	6	12	4	70	21	17	7	13	4	10	6	0	3	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__HT002	1067	1260	100	247	2262	165	9029	302	90	794	9660	169	536	9	843	5	638	60	131	2066	2444	547	180	811	519	127	65	85	207	381	75	128	699	54	956	122	26	165	300	79	3	838	334	743	725	0	0	0	0	7339	30	31	3174	747	4401	15	16	61	0	67	
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	9	269	8851	294	10	6933	139	4840	0	24	124	4664	0	166	10	114	105	3859	3975	0	113	21	39	30	56	5610	6617	6606	86	13	2987	4905	41	7311	0	4946	9396	3288	5434	9256	7667	34	8934	15425	11746	2033	1424	3447	1729	30	17	20	6224	7	25	4490	1406	476	4	28	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	8	0	0	0	5	0	4	0	4	5	6	0	3	148	4	3	6	0	0	5	6	6	0	0	2	7	0	3	0	3	0	2	8	0	4	2	0	2	3	3	0	7	0	3	0	0	4	0	0	4	0	0	0	9	4	0	2	0	3	0	
k__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	1234	74	270	565	16	24	3	173	6	418	1	10	12	349	6	3	300	77	25	6	27	66	207	205	224	282	26	632	8	118	790	714	337	116	1	172	30	626	638	30	96	225	0	0	0	255	250	410	102	18	1919	3097	0	12125	0	83	259	2279	1172	2775	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae;g__Peptococcus	0	3	6	4	0	32	0	25	22	0	0	11	0	0	0	20	0	13	21	0	0	2	0	0	0	29	22	4	0	0	154	0	0	52	0	17	30	49	4	87	38	0	3	3	19	35	23	50	38	0	0	3	20	0	0	106	49	9	0	5	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus	4705	216	214	1339	14268	195	1292	160	1805	980	1694	108	33836	934	34920	1029	872	82	33	12359	17457	624	427	1212	1633	43	2908	493	483	689	54	272	1737	50	24500	43	1487	68	186	136	1186	2211	1723	971	2869	1154	386	49	6	11093	121	748	9049	436	6404	10	100	42	302	1394	
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus	5	0	0	0	0	0	3	0	0	0	5	0	0	0	0	0	0	0	0	0	4	0	3	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	
k__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae;g__Mucispirillum	0	8	133	130	0	126	43	226	1583	16	58	687	7	358	0	6792	45	127	57	0	0	53	24	20	34	112	1029	518	15	6	449	95	17	666	0	56	911	138	67	358	3798	18	23	1928	149	951	163	642	2943	1	8	12	572	2	159	958	1022	135	6	7	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor	0	0	3	3	0	0	0	6	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	8	0	0	5	0	0	0	0	2	2	0	5	9	0	0	0	3	0	0	4	2	0	0	0	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	0	90	203	115	0	1174	66	2008	281	8	55	1147	0	248	0	303	20	416	991	0	0	12	13	13	23	625	2404	111	25	0	867	80	19	817	6	451	1418	1667	370	652	944	0	39	144	980	146	226	1475	1363	49	63	51	1329	5	225	483	2673	292	25	12	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__	3	0	84	8	0	18	8	36	42	26	15	57	0	19	0	51	62	11	20	0	5	23	28	5	4	31	79	75	44	25	249	4	18	77	9	28	49	48	0	141	97	0	3	3	19	20	15	182	96	1	761	1193	15	8	4	74	171	38	73	36	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium] xylanophilum group	0	0	26	9	18	29	7	33	172	0	18	17	0	117	0	251	0	0	26	5	6	0	0	0	0	38	66	16	0	0	0	0	0	25	0	25	179	0	12	29	108	0	3	4	65	5	5	147	154	1	73	5	156	1	2	53	15	44	1	1	
k__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Paludicola	0	0	6	0	0	10	0	8	5	0	0	6	0	0	0	0	0	0	0	0	0	0	0	4	0	6	0	6	0	0	18	0	0	8	0	8	10	4	0	20	4	0	1	1	1	1	1	4	0	0	6	0	10	0	2	2	1	0	0	0	
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Bilophila	26	20	141	46	65	209	23	81	265	24	42	245	0	104	0	269	438	11	104	53	35	23	24	58	25	112	27	80	173	231	69	8	98	221	17	65	61	62	17	987	47	22	24	18	116	17	21	695	300	30	1831	1128	98	16	112	209	353	166	133	101	
