	faith_pd
LYZFP339	72.90028843845698
SLCFP094	61.352280748011786
Itg-16-FP482-S85	50.00874661963795
Itg-02-FP408-S8	83.91015656223132
LYZFP315	80.97674714591352
Vil1-02B-FP21	87.16215340525432
Itg-12-FP471-S73	51.056477859672746
Itg-16-FP479-S81	88.42528387907217
Vil1-05B-FP55	111.74194376747104
Itg-22-FP516-S19	93.37720582381891
Itg-04-FP420-S20	88.04834862022969
Itg-10-FP456-S58	89.71406819304534
SLCFP163	82.61239589276485
SLCFP050	81.65523210712885
LYZFP352	99.97831874529567
Lyz2-08B-FP294-S92	63.26025717801544
Vil1-13B-FP156	40.264049123764025
Itg-18-FP492-S95	82.20294953675668
LYZFP305	44.27655733260946
Vil1-06B-FP72	103.13644862774305
Vil1-02B-FP24	65.29842343785174
Itg-12-FP468-S70	94.32204537577232
Lyz2-05B-FP260-S57	40.511421892682364
Itg-12-FP467-S69	97.57643539616035
SLCFP052	52.05823449220225
Itg-20-FP505-S8	84.48447130572046
Vil1-14B-FP166	34.282615741715475
SLCFP076	37.480359156564774
Itg-04-FP423-S23	32.30138908042662
Itg-22-FP517-S20	93.82018972176004
LYZFP330	56.28119489402571
Itg-12-FP472-S74	65.61994114825964
Lyz2-06B-FP268-S65	82.4758229653165
SLCFP127	66.51114647161205
Lyz2-03B-FP233-S81	69.04314624150774
Lyz2-04B-FP246-S43	43.44785338482386
Vil1-14B-FP165	83.57479737500361
Lyz2-02B-FP221-S69	82.88878866557619
Vil1-07B-FP81	95.7370797319343
Lyz2-06B-FP270-S68	47.12421947351913
Vil1-07B-FP84	118.28937703175609
Lyz2-04B-FP247-S44	38.177856576933905
Itg-06-FP431-S32	80.08668823894371
LYZFP340	80.36518320820176
Lyz2-01B-FP211-S59	43.33507088659414
Lyz2-06B-FP267-S64	81.30232350830877
SLCFP150	87.40497116534027
Itg-02-FP407-S7	79.87029495440763
SLCFP129	74.46403540890825
SLCFP167	53.306895564776106
Itg-04-FP419-S19	96.5787717324151
Itg-08-FP448-S49	47.64161339349858
Vil1-13B-FP151	25.06394188805886
Vil1-01B-FP10	55.186964394139785
Itg-04-FP424-S24	64.98538488925499
LYZFP351	94.11064029622827
SLCFP074	62.158978358206205
SLCFP145	79.3641944581519
Itg-08-FP446-S47	46.008882095623676
Vil1-06B-FP71	114.96799217685316
SLCFP054	51.1346071611957
LYZFP303	63.9000851481948
Lyz2-01B-FP207-S55	89.21808741585218
Vil1-13B-FP155	29.053158655782124
Lyz2-08B-FP295-S93	61.872916752602315
Itg-08-FP444-S45	83.21825386456132
Vil1-13B-FP154	16.283911604163336
SLCFP003	93.87481114718585
Vil1-14B-FP168	63.32505800790047
Vil1-03B-FP31	87.46914546508324
Lyz2-03B-FP232-S80	75.53147795435333
Lyz2-03B-FP235-S83	37.25761651965021
Itg-18-FP493-S96	94.28603709963053
Lyz2-07B-FP284-S82	47.60504944794434
SLCFP068	66.71463080391197
Itg-10-FP457-S59	94.92721297610368
SLCFP165	84.47219944189109
Itg-10-FP459-S61	49.13228927360388
Itg-06-FP432-S33	75.59811363319741
Lyz2-01B-FP209-S57	87.70952168668529
Itg-12-FP470-S72	44.160820891642054
Lyz2-07B-FP280-S78	77.40382038043438
Itg-10-FP458-S60	38.057248213578674
SLCFP114	53.80610889543531
Lyz2-08B-FP296-S95	62.52337435487123
SLCFP006	41.76458708162228
LYZFP343	51.75710113464874
Itg-16-FP483-S86	53.68653508764198
Lyz2-03B-FP236-S84	41.74176740980255
Lyz2-02B-FP223-S71	44.53412682607573
Itg-02-FP411-S11	45.2694016234654
Lyz2-05B-FP258-S55	43.19107873567984
Itg-06-FP435-S36	52.18597844022563
Itg-16-FP480-S83	85.825250128605
Vil1-02B-FP23	56.23677623702425
Vil1-07B-FP80	87.65683277362334
Itg-22-FP519-S22	47.22917171217452
SLCFP132	50.73763522375588
LYZFP344	91.85211962189771
LYZFP342	39.9776573828874
Itg-22-FP520-S23	71.32848400373581
Itg-10-FP455-S57	85.71252399579706
Vil1-05B-FP56	107.09726602431098
SLCFP146	93.09358839148084
SLCFP096	18.39841820433001
SLCFP147	92.04585716493577
SLCFP001	85.51742463525406
SLCFP110	80.14285566987883
Vil1-02B-FP20	83.90322413659956
Itg-04-FP421-S21	95.85190879036222
Vil1-08B-FP91	99.57725705255615
Vil1-06B-FP70	104.80574538900242
LYZFP353	96.34917181693578
Vil1-08B-FP93	90.94356949977018
Itg-08-FP447-S48	44.319723894718464
Itg-26-FP541-S45	92.7734020095426
Lyz2-08B-FP293-S91	90.1563885576048
SLCFP109	85.00909575390361
Itg-18-FP494-S97	43.728330259440014
SLCFP020	83.81977703716885
Itg-20-FP503-S6	90.17566018485681
Lyz2-02B-FP219-S67	88.47078705366457
Vil1-09B-FP103	83.39223717123278
LYZFP318	88.1645964280504
Vil1-10B-FP118	68.86619603245697
SLCFP149	57.82419317336424
Lyz2-06B-FP272-S70	64.14572343122418
Itg-18-FP495-S98	28.48107721482722
LYZFP329	88.63688882955944
LYZFP341	84.6196194623821
